2016 Chevrolet Cruze LT	$12,495	62,118 miles	Sedan 	White 	4 Cyl 
2014 Toyota Sienna LE	$20,686	28,174 miles	Minivan 	Green 	6 Cyl 
2016 Volkswagen Passat SE	$16,000	16,766 miles	Sedan 	Beige 	4 Cyl 
2013 Ford Escape SEL	$9,999	95,793 miles	SUV 	Gray 	4 Cyl 
2015 Nissan Altima S	$9,890	15,542 miles	Sedan 	White 	4 Cyl 
2014 Infiniti Q50 Premium	$18,999	32,808 miles	Sedan 	Black 	6 Cyl 
2012 Cadillac CTS Premium	$9,999	106,692 miles	Sedan 	Red 	6 Cyl 
2013 BMW X5 xDrive35i	$19,999	59,846 miles	SUV 	White 	6 Cyl 
2016 Toyota Camry XLE	$12,999	44,204 miles	Sedan 	Black 	4 Cyl 
2007 Infiniti G35	$6,999	112,457 miles	Sedan 	White 	6 Cyl 
2014 Infiniti Q50 Premium	$15,999	87,981 miles	Sedan 	Gray 	6 Cyl 
2015 Nissan Rogue SV	$12,999	80,263 miles	SUV 	White 	4 Cyl 
2015 Nissan Rogue S	$11,999	69,223 miles	SUV 	Gray 	4 Cyl 
2016 Honda Civic LX	$12,980	14,247 miles	Sedan 	White 	4 Cyl 
2015 Toyota Corolla S	$9,880	44,463 miles	Sedan 	Silver 	4 Cyl 
2016 Honda Civic LX	$11,890	27,635 miles	Sedan 	White 	4 Cyl 
2015 Jeep Cherokee Limited Edition	$16,890	46,951 miles	SUV 	White 	6 Cyl 
2015 Toyota Venza LE	$12,980	46,214 miles	Wagon 	White 	4 Cyl 
2015 Audi A6 2.0T	$22,980	31,501 miles	Sedan 	Black 	4 Cyl 
2016 Nissan Maxima SR	$20,895	25,428 miles	Sedan 	White 	6 Cyl 
2015 Toyota RAV4 LE	$14,980	24,367 miles	SUV 	Silver 	4 Cyl 
2015 Jeep Cherokee Trailhawk	$19,980	55,740 miles	SUV 	Gray 	6 Cyl 
2015 Toyota RAV4 LE	$15,490	17,569 miles	SUV 	Gray 	4 Cyl 
2015 Jeep Cherokee Limited Edition	$17,490	32,780 miles	SUV 	Gray 	6 Cyl 
2016 Honda Civic LX	$12,980	18,671 miles	Sedan 	Gray 	4 Cyl 
2015 Acura ILX Technology	$14,480	26,631 miles	Sedan 	Black 	4 Cyl 
2015 Acura ILX Technology	$14,480	20,514 miles	Sedan 	White 	4 Cyl 
2013 Infiniti G37	$13,890	47,851 miles	Sedan 	Black 	6 Cyl 
2004 Toyota 4Runner SR5	$6,699	164,989 miles	SUV 	Gray 	6 Cyl 
2009 Volkswagen Routan SEL	$5,999	110,148 miles	Van 	Blue 	6 Cyl 
2006 Toyota Highlander	$6,500	137,461 miles	SUV 	Silver 	4 Cyl 
2014 Dodge Grand Caravan SE	$9,999	99,252 miles	Minivan 	Black 	6 Cyl 
2014 Dodge Avenger SE	$6,495	102,034 miles	Sedan 	Black 	4 Cyl 
2017 Hyundai Santa Fe Limited Edition	$29,500	13,352 miles	SUV 	Gray 	6 Cyl 
2015 Toyota 4Runner Limited Edition	$31,888	46,599 miles	SUV 	Silver 	6 Cyl 
2016 Chevrolet Trax LS	$13,695	14,124 miles	SUV 	Red 	4 Cyl 
2015 Chevrolet Suburban LT	$41,884	25,192 miles	SUV 	Black 	8 Cyl 
2016 Ford Explorer XLT	$24,900	33,126 miles	SUV 	Black 	6 Cyl 
2016 Lincoln MKC Reserve	$27,966	8,138 miles	SUV 	Silver 	4 Cyl 
2016 GMC Sierra 1500 SLE	$29,995	10,914 miles	Pickup 	Red 	8 Cyl 
2015 Chevrolet Tahoe LTZ	$41,995	50,095 miles	SUV 	Beige 	8 Cyl 
2015 Mercedes-Benz C-Class C 250	$23,995	20,773 miles	Coupe 	Black 	4 Cyl 
2015 Dodge Challenger SXT	$18,591	26,109 miles	Coupe 	Red 	6 Cyl 
2015 Ford Explorer Sport	$31,500	27,983 miles	SUV 	White 	6 Cyl 
2016 Ford Escape SE	$16,562	20,705 miles	SUV 	Gray 	4 Cyl 
2017 Ford F-250 XL	$36,800	3,992 miles	Pickup 	Red 	8 Cyl 
2015 Toyota Camry LE	$15,914	22,005 miles	Sedan 	Silver 	4 Cyl 
2016 Chevrolet Cruze LTZ	$15,995	13,520 miles	Sedan 	Gray 	4 Cyl 
2015 Ford F-150 Lariat	$38,499	22,823 miles	Pickup 	Brown 	8 Cyl 
2013 Lexus GS 350	$22,438	44,829 miles	Sedan 	Black 	6 Cyl 
2014 Volvo XC60 T6	$24,906	30,345 miles	SUV 	Silver 	6 Cyl 
2014 Ford Focus SE	$9,491	53,004 miles	Hatchback 	Black 	4 Cyl 
2014 Volkswagen Passat S	$10,875	56,201 miles	Sedan 	Black 	4 Cyl 
